gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
001690,14593,2009-09-30,2009-09-30,2010-01-31,43.783,0.203,13.424,20.831,21.152,21.152,21.152,4.059,17.144,0.000,0.192,0.290,0.274,0.417,0.281,0.209,0.285,0.296,0.446,0.318,0.313,0.379,0.313,0.510,0.328,0.377,1.000,0.000,0.000,0.000,,,1.479,0.014,0.160,0.000,0.000,,0.725,0.000,1.080,0.883,0.641,0.887,5.369,0.000,0.334,0.150,0.501,,,2.039,2.703,2.742,,51.865,0.985,8.791,4.486,1.356,1.356,2.140,0.031,0.012,0.000,-0.044,5.144,0.355,,AAPL,03783310
001690,14593,2009-09-30,2009-12-31,2010-02-28,48.834,0.202,10.239,0.701,0.714,0.714,0.714,3.973,15.460,0.000,0.200,0.303,0.286,0.426,0.290,0.231,0.311,0.341,0.510,0.318,0.357,0.341,0.357,0.595,0.365,0.413,1.000,0.000,0.000,0.000,,,1.297,0.013,0.128,0.000,0.000,,0.732,0.000,1.028,0.873,0.641,0.902,6.674,0.000,0.390,0.151,0.639,,,1.772,2.403,2.434,,62.233,0.969,10.891,5.155,1.589,1.589,2.368,0.030,0.012,0.000,-0.056,4.815,0.013,,AAPL,03783310
001690,14593,2009-09-30,2009-12-31,2010-03-31,56.260,0.202,10.239,0.805,0.820,0.820,0.820,4.577,17.811,0.000,0.200,0.303,0.286,0.426,0.290,0.231,0.311,0.341,0.510,0.318,0.357,0.341,0.357,0.595,0.365,0.413,1.000,0.000,0.000,0.000,,,1.297,0.013,0.128,0.000,0.000,,0.732,0.000,1.028,0.873,0.641,0.902,6.674,0.000,0.390,0.151,0.639,,,1.772,2.403,2.434,,62.233,0.969,10.891,5.155,1.589,1.589,2.368,0.030,0.012,0.000,-0.056,5.547,0.015,,AAPL,03783310
001690,14593,2009-09-30,2009-12-31,2010-04-30,62.527,0.202,10.239,0.894,0.911,0.911,0.911,5.086,19.795,0.000,0.200,0.303,0.286,0.426,0.290,0.231,0.311,0.341,0.510,0.318,0.357,0.341,0.357,0.595,0.365,0.413,1.000,0.000,0.000,0.000,,,1.297,0.013,0.128,0.000,0.000,,0.732,0.000,1.028,0.873,0.641,0.902,6.674,0.000,0.390,0.151,0.639,,,1.772,2.403,2.434,,62.233,0.969,10.891,5.155,1.589,1.589,2.368,0.030,0.012,0.000,-0.056,6.165,0.016,,AAPL,03783310
001690,14593,2009-09-30,2010-03-31,2010-05-31,54.324,0.199,11.041,0.765,0.779,0.779,0.779,4.572,17.326,0.000,0.211,0.310,0.294,0.429,0.297,0.249,0.328,0.348,0.511,0.318,0.368,0.348,0.368,0.666,0.414,0.425,1.000,0.000,0.000,0.000,,,1.293,0.015,0.142,0.000,0.000,,0.723,0.000,1.184,1.009,0.641,0.900,6.051,0.000,0.358,0.146,0.558,,,1.788,2.437,2.475,,56.982,0.990,10.908,5.217,1.542,1.542,2.592,0.030,0.012,0.000,-0.054,5.488,0.014,,AAPL,03783310
001690,14593,2009-09-30,2010-03-31,2010-06-30,53.400,0.199,11.041,0.749,0.763,0.763,0.763,4.494,17.031,0.000,0.211,0.310,0.294,0.429,0.297,0.249,0.328,0.348,0.511,0.318,0.368,0.348,0.368,0.666,0.414,0.425,1.000,0.000,0.000,0.000,,,1.293,0.015,0.142,0.000,0.000,,0.723,0.000,1.184,1.009,0.641,0.900,6.051,0.000,0.358,0.146,0.558,,,1.788,2.437,2.475,,56.982,0.990,10.908,5.217,1.542,1.542,2.592,0.030,0.012,0.000,-0.054,5.395,0.014,,AAPL,03783310
001690,14593,2009-09-30,2010-03-31,2010-07-31,54.619,0.199,11.041,0.766,0.780,0.780,0.780,4.597,17.420,0.000,0.211,0.310,0.294,0.429,0.297,0.249,0.328,0.348,0.511,0.318,0.368,0.348,0.368,0.666,0.414,0.425,1.000,0.000,0.000,0.000,,,1.293,0.015,0.142,0.000,0.000,,0.723,0.000,1.184,1.009,0.641,0.900,6.051,0.000,0.358,0.146,0.558,,,1.788,2.437,2.475,,56.982,0.990,10.908,5.217,1.542,1.542,2.592,0.030,0.012,0.000,-0.054,5.518,0.014,,AAPL,03783310
001690,14593,2009-09-30,2010-06-30,2010-08-31,45.656,0.204,11.432,0.646,0.657,0.654,0.654,3.890,13.861,0.000,0.214,0.307,0.291,0.424,0.294,0.260,0.339,0.345,0.501,0.318,0.369,0.345,0.369,0.730,0.460,0.433,1.000,0.000,0.000,0.000,,,1.305,0.020,0.157,0.000,0.000,,0.715,0.000,1.337,1.222,0.641,0.894,5.408,0.000,0.329,0.149,0.489,,,1.825,2.491,2.541,,50.419,1.023,10.892,5.101,1.524,1.524,2.826,0.029,0.012,0.000,-0.070,4.731,0.012,,AAPL,03783310
001690,14593,2009-09-30,2010-06-30,2010-09-30,53.431,0.204,11.432,0.753,0.767,0.763,0.763,4.553,16.222,0.000,0.214,0.307,0.291,0.424,0.294,0.260,0.339,0.345,0.501,0.318,0.369,0.345,0.369,0.730,0.460,0.433,1.000,0.000,0.000,0.000,,,1.305,0.020,0.157,0.000,0.000,,0.715,0.000,1.337,1.222,0.641,0.894,5.408,0.000,0.329,0.149,0.489,,,1.825,2.491,2.541,,50.419,1.023,10.892,5.101,1.524,1.524,2.826,0.029,0.012,0.000,-0.070,5.537,0.014,,AAPL,03783310
001690,14593,2009-09-30,2010-06-30,2010-10-31,56.758,0.204,11.432,0.799,0.813,0.809,0.809,4.836,17.232,0.000,0.214,0.307,0.291,0.424,0.294,0.260,0.339,0.345,0.501,0.318,0.369,0.345,0.369,0.730,0.460,0.433,1.000,0.000,0.000,0.000,,,1.305,0.020,0.157,0.000,0.000,,0.715,0.000,1.337,1.222,0.641,0.894,5.408,0.000,0.329,0.149,0.489,,,1.825,2.491,2.541,,50.419,1.023,10.892,5.101,1.524,1.524,2.826,0.029,0.012,0.000,-0.070,5.882,0.014,,AAPL,03783310
